Bunny ID,GRID,XYZ,Date XYZ On,XYZ Schedule,Time XYZ On,GPS ,Date GPS On,Time GPS On,GPS Schedule,GPS Delay,Frequency,Date on Bunny,Time on Bunny,Date Off Bunny,Time off Bunny,Date GPS OFF,Time GPS Off,GPS Dump?,Date XYZ Off,SigA Start,SigA End,SigB Start,SigB End,Time XYZ Off,XYZ Dump,Last Record Date,Notes
25029,Kloo,EA,19-Jan-19,1,18:46:25,55,19-Jan-19,18:46:51,15,,151.655,21-Jan-19,23:21,17-Feb-19,0:58,17-Feb-19,1:32,,17-Feb-19,,,,,1:30,,17-Feb-19,axy orked well
25676,CB,SS,19-Jan-19,1,19:34:50,4,19-Jan-19,19:34:20,15,,151.555,20-Jan-19,22:16,8-Feb-19,1:10,8-Feb-19,already off,,8-Feb-19,,,,,2:10,,8-Feb-19,"axy worked well, but MALE!!"
25297,Jo,HD Alb,19-Jan-19,1,18:48:24,44,19-Jan-19,18:48:47,15,,151.265,22-Jan-19,23:30,10-Feb-19,0:58,10-Feb-19,by 02:15,,10-Feb-19,,,,,by 02:15,,10-Feb-19,axy worked well
25677,CB,EC,19-Jan-19,1,18:49:08,HI,19-Jan-19,18:49:31,15,,151.635,20-Jan-19,22:40,25-Feb-19,by 20:00,21-Jan-19,already off,,25-Feb-19,,,,,21:52,,25-Feb-19,"Dennis GPS, GPS didn't work"
25038,Rolo,BU,19-Jan-19,1,18:49:58,MD,19-Jan-19,18:50:23,15,,151.596,23-Jan-19,0:56,24-Feb-19,by 20:00,24-Feb-19,22:15,,24-Feb-19,,,,,22:36,,24-Feb-19,"Dennis GPS, axy orked well"
25258,Jo,EF,19-Jan-19,1,19:16:01,NG,19-Jan-19,19:17:38,15,,151.615,22-Jan-19,23:55,20-Feb-19,,20-Feb-19,already off,,20-Feb-19,,,,,15:30,,20-Feb-19,"axy worked well, GPS worked for only 2 days"
25026,Sulphur,ZX,22-Jan-19,1,19:01:01,HD,22-Jan-19,19:02:25,15,,149.309,27-Jan-19,0:06,28-Feb-19,23:20,19-Feb-19,already off,,1-Mar-19,,,,,1:35,,1-Mar-19,"Dennis GPS, axy worked well"
24168,Sulphur,HH alb,22-Jan-19,1,19:01:45,MM,22-Jan-19,19:02:48,15,,149.329,27-Jan-19,2:10,28-Feb-19,23:48,26-Feb-19,already off,,28-Feb-19,,,,,1:34,,1-Mar-19,"Dennis GPS, axy worked well"
25695,Jo,BL,22-Jan-19,1,19:02:02,19,22-Jan-19,19:03:06,15,,151.535,22-Jan-19,23:45,9-Feb-19,0:53,9-Feb-19,1:43,,9-Feb-19,,,,,1:46,,9-Feb-19,axy worked well
22109,Kloo,NB,23-Jan-19,1,21:12:42,AM,23-Jan-19,21:13:17,15,,149.46,24-Jan-19,0:42,31-Jan-19,by 13:30,31-Jan-19,14:35,,31-Jan-19,,,,,,,24-Jan-19,"Dennis GPS, axy didn't work"
