"","Bunny.ID","GRID","XYZ","Date.XYZ.On","XYZ.Schedule","Time.XYZ.On","GPS","Date.GPS.On","Time.GPS.On","GPS.Schedule","GPS.Delay","Frequency","Date.on.Bunny","Time.on.Bunny","Date.Off.Bunny","Time.off.Bunny","Date.GPS.OFF","Time.GPS.Off","GPS.Dump.","Date.XYZ.Off","SigA.Start","SigA.End","SigB.Start","SigB.End","Time.XYZ.Off","XYZ.Dump","Last.Record.Date","Notes","DateFile","FileName"
"58","25038","Rolo","BU","19-Jan-19",1,"18:49:58","MD","19-Jan-19","18:50:23",15,NA,151.596,"23-Jan-19","0:56","24-Feb-19","by 20:00","24-Feb-19","22:15","","24-Feb-19",NA,NA,NA,NA,"22:36","","24-Feb-19","Dennis GPS, axy orked well","Feb24_2019","Feb24_2019_BU_25038_1.csv"
"59","25258","Jo","EF","19-Jan-19",1,"19:16:01","NG","19-Jan-19","19:17:38",15,NA,151.615,"22-Jan-19","23:55","20-Feb-19","","20-Feb-19","already off","","20-Feb-19",NA,NA,NA,NA,"15:30","","20-Feb-19","axy worked well, GPS worked for only 2 days","Feb20_2019","Feb20_2019_EF_25258_1.csv"
"60","25026","Sulphur","ZX","22-Jan-19",1,"19:01:01","HD","22-Jan-19","19:02:25",15,NA,149.309,"27-Jan-19","0:06","28-Feb-19","23:20","19-Feb-19","already off","","01-Mar-19",NA,NA,NA,NA,"1:35","","01-Mar-19","Dennis GPS, axy worked well","Mar01_2019","Mar01_2019_ZX_25026_1.csv"
"61","24168","Sulphur","HH alb","22-Jan-19",1,"19:01:45","MM","22-Jan-19","19:02:48",15,NA,149.329,"27-Jan-19","2:10","28-Feb-19","23:48","26-Feb-19","already off","","28-Feb-19",NA,NA,NA,NA,"1:34","","01-Mar-19","Dennis GPS, axy worked well","Feb28_2019","Feb28_2019_HH alb_24168_1.csv"
"62","25695","Jo","BL","22-Jan-19",1,"19:02:02","19","22-Jan-19","19:03:06",15,NA,151.535,"22-Jan-19","23:45","09-Feb-19","0:53","09-Feb-19","1:43","","09-Feb-19",NA,NA,NA,NA,"1:46","","09-Feb-19","axy worked well","Feb09_2019","Feb09_2019_BL_25695_1.csv"
"63","22109","Kloo","NB","23-Jan-19",1,"21:12:42","AM","23-Jan-19","21:13:17",15,NA,149.46,"24-Jan-19","0:42","31-Jan-19","by 13:30","31-Jan-19","14:35","","31-Jan-19",NA,NA,NA,NA,"","","24-Jan-19","Dennis GPS, axy didn't work","Jan31_2019","Jan31_2019_NB_22109_1.csv"
"64","24143","Sulphur","HE","23-Jan-19",1,"21:13:55","MP","23-Jan-19","21:14:25",15,NA,151.575,"27-Jan-19","0:49","18-Feb-19","","18-Feb-19","19:35","","18-Feb-19",NA,NA,NA,NA,"already off","",NA,"Dennis GPS, axy didn't work","Feb18_2019","Feb18_2019_HE_24143_1.csv"
"65","24306","Sulphur","CD","23-Jan-19",1,"21:15:09","AO","23-Jan-19","21:15:34",15,NA,151.515,"27-Jan-19","1:00","01-Mar-19","22:33","23-Jan-19","already off","","01-Mar-19",NA,NA,NA,NA,"","","01-Mar-19","GPS didn’t work, axy data can't be opened","Mar01_2019","Mar01_2019_CD_24306_1.csv"
"66","24498","Kloo","BZ","23-Jan-19",1,"21:16:07","ME","23-Jan-19","21:16:34",15,NA,151.495,"28-Jan-19","9:42","20-Feb-19","9:30","20-Feb-19","already off","","20-Feb-19",NA,NA,NA,NA,"19:09","","20-Feb-19","Dennis GPS, axy worked ell","Feb20_2019","Feb20_2019_BZ_24498_1.csv"
"67","25049","Jo","JJ Alb","27-Jan-19",1,"21:31:43","AZ","27-Jan-19","21:05:45",15,NA,150.435,"27-Jan-19","23:21","18-Feb-19","18:00","18-Feb-19","19:46","","18-Feb-19",NA,NA,NA,NA,"19:58","","18-Feb-19","axy worked well","Feb18_2019","Feb18_2019_JJ Alb_25049_1.csv"
"68","24194","Chad Bear","HA","27-Jan-19",1,"21:32:02","TD","27-Jan-19","21:03:16",15,NA,151.465,"28-Jan-19","0:37","14-Feb-19","15:15","14-Feb-19","by 16:00","","14-Feb-19",NA,NA,NA,NA,"already off","","02-Feb-19","Dennis GPS, axy worked for only a couple of days","Feb14_2019","Feb14_2019_HA_24194_1.csv"
"69","25682","Rolo","3","27-Jan-19",1,"21:32:57","NH","27-Jan-19","21:12:50",15,NA,149.861,"30-Jan-19","0:39","20-Feb-19","by 12:00","20-Feb-19","14:42","","20-Feb-19",NA,NA,NA,NA,"15:30","","20-Feb-19","Dennis GPS, axy worked well","Feb20_2019","Feb20_2019_3_25682_1.csv"
"70","25699","Kloo","BA","29-Jan-19",1,"20:38:11","10","29-Jan-19","20:39:28",15,NA,149.079,"30-Jan-19","0:50","25-Feb-19","by 20:00","25-Feb-19","21:21","","25-Feb-19",NA,NA,NA,NA,"21:54","","25-Feb-19","axy worked well","Feb25_2019","Feb25_2019_BA_25699_1.csv"
"71","25253","Chad Bear","ET","29-Jan-19",1,"20:38:30","ZA","29-Jan-19","20:40:07",15,NA,149.701,"05-Feb-19","0:37","08-Feb-19","0:56","08-Feb-19","1:45","","08-Feb-19",NA,NA,NA,NA,"2:01","","08-Feb-19","axy worked well","Feb08_2019","Feb08_2019_ET_25253_1.csv"
"72","24404","Rolo","NB","04-Feb-19",1,"22:46:46","AM","04-Feb-19","22:47:14",15,NA,149.46,"05-Feb-19","23:48","22-Feb-19","by 19:30","22-Feb-19","22:40","","22-Feb-19",NA,NA,NA,NA,"already off","","06-Feb-19","axy worked for only 1 day","Feb22_2019","Feb22_2019_NB_24404_1.csv"
"73","24271","Kloo","MP","04-Feb-19",1,"22:48:00","AH","04-Feb-19","22:48:33",15,NA,149.37,"05-Feb-19","1:34","09-Apr-19","11:00","17-Mar-19","already off","","09-Apr-19",NA,NA,NA,NA,"17:38","","09-Apr-19","axy worked well","Apr09_2019","Apr09_2019_MP_24271_1.csv"
"74","25686","Rolo","BO","04-Feb-19",1,"22:48:56","HA","04-Feb-19","22:49:25",15,NA,149.319,"05-Feb-19","23:35","18-Feb-19","0:35","18-Feb-19","1:30","","18-Feb-19",NA,NA,NA,NA,"1:40","","18-Feb-19","axy worked well, but MALE!!","Feb18_2019","Feb18_2019_BO_25686_1.csv"
"75","22847","Kloo","HB","06-Feb-19",1,"23:10:13","HG","06-Feb-19","23:13:23",15,NA,149.03,"08-Feb-19","0:53","20-Mar-19","0:50","17-Mar-19","already off","","20-Mar-19",NA,NA,NA,NA,"0:53","","20-Mar-19","Dennis GPS, axy worked well","Mar20_2019","Mar20_2019_HB_22847_1.csv"
"76","25253","Chad Bear","2","06-Feb-19",1,"23:10:37","NB","06-Feb-19","23:15:28",15,NA,151.445,"08-Feb-19","0:56","22-Feb-19","by 19:30","22-Feb-19","22:31","","22-Feb-19",NA,NA,NA,NA,"already off","","12-Feb-19","Dennis GPS, axy worked for only 4 days","Feb22_2019","Feb22_2019_2_25253_1.csv"
"77","24653","Kloo","5","06-Feb-19",1,"23:11:24","AW","06-Feb-19","23:16:56",15,NA,149.34,"07-Feb-19","1:38","22-Feb-19","by 19:30","22-Feb-19","22:28","","22-Feb-19",NA,NA,NA,NA,"23:05","","22-Feb-19","Dennis GPS, axy worked well","Feb22_2019","Feb22_2019_5_24653_1.csv"
"78","25092","Kloo",NA,"06-Feb-19",1,"23:31:30","MK","06-Feb-19","23:32:25",15,NA,149.645,"08-Feb-19","8:40","06-Apr-19","10:00","13-Mar-19","already off","","08-Apr-19",NA,NA,NA,NA,"13:48","","08-Apr-19","axy worked well","Apr08_2019","Apr08_2019_NA_25092_1.csv"
"79","25695","Jo","ET","08-Feb-19",1,"22:03:50","ZA","08-Feb-19","22:06:06",15,NA,149.11,"09-Feb-19","0:53","21-Mar-19","by 10:00","21-Mar-19","20:45","","21-Mar-19",NA,NA,NA,NA,"20:30","","21-Mar-19","axy worked well","Mar21_2019","Mar21_2019_ET_25695_1.csv"
